Freebase Code,Name,Description,Detailed Description
/m/04wy6k,Cambodian Americans,Ethnic group,"Cambodian Americans, also Khmer Americans, are Americans of Cambodian or Khmer ancestry. In addition, Cambodian Americans are also Americans with ancestry of other ethnic groups of Cambodia, such as the Chams and Chinese Cambodians.
"
/m/03zcwh,Ukrainian Canadians,People,"Ukrainian Canadians are Canadian citizens of Ukrainian descent or Ukrainian-born people who immigrated to Canada.
In the late 19th century, the first Ukrainian immigrants arrived in the east coast of Canada. "
/m/0dc58y8,Not found,Not found,Not found
/m/0g5rkt4,Corsicans,Ethnic group,"The Corsicans are a Romance-speaking ethnic group, native to the Mediterranean island of Corsica, a territorial collectivity of France."
/m/0647lm,Pakistani Americans,Ethnic group,"Pakistani Americans are citizens of the United States who have full or partial ancestry from Pakistan, or more simply, Pakistanis in America. They can be from different ethnic groups in Pakistan like Punjabi or Muhajir. The term may also refer to people who also hold a dual Pakistani and U.S. citizenship. "
/m/04fh1b,Afro-Asians,People,"Afro-Asians, African Asians, Blasians, or simply Black Asians are people of mixed Asian and African ancestry. Historically, Afro-Asian populations have been marginalised as a result of human migration and social conflict."
/m/047bp1r,Colombian Australians,People,Colombian Australians are Australian citizens who trace their nationality or heritage from the South American nation of Colombia.
/m/09cd0m,Filipino Mestizos,People,"In the Philippines, Filipino Mestizo, or colloquially Tisoy, is a name used to refer to people of mixed native Filipino and any foreign ancestry. "
/m/03fvrb,Khatri,N/A,"Khatri is a caste originating from the Malwa and Majha areas of Punjab region of South Asia that is predominantly found in India, but also in Pakistan and Afghanistan. The Khatris claim they are warriors who took to trade. "
/m/025x6k1,Serbs in North Macedonia,Ethnic group,"The Serbs are one of the constitutional ethnic groups of North Macedonia, numbering about 24,000 inhabitants."
/m/02rm7_9,Peruvians in the United Kingdom,People,"Peruvians in the United Kingdom or Peruvian Britons are Peruvian immigrants to the United Kingdom, who form part of the larger Latin American community in the UK. "
/m/01l0ty,Tibetan people,Ethnic group,The Tibetan people are an East Asian ethnic group native to Tibet. Their current population is estimated to be around 6.7 million. 
/m/07s49c2,Chileans in the United Kingdom,People,Chileans in the United Kingdom are people of Chilean origin living in the United Kingdom.
/m/03ty8_,Litvaks,Ethnicity,Litvaks or Lita'im are Jews with roots in the territory of the former Grand Duchy of Lithuania. Over 90% of the population was killed during the Holocaust. 
/m/02m0kh,Mandinka people,Ethnic group,"The Mandinka or Malinke are a West African ethnic group primarily found in southern Mali, The Gambia, southern Senegal and eastern Guinea. "
/m/05ms3p0,Punjabi diaspora,Ethnicity,The Punjabi diaspora consists of the descendants of ethnic Punjabis who emigrated out of the Punjab region in the northern part of the South Asia to the rest of the world. 
/m/0gtwjz6,Canadian Australians,N/A,Canadian Australians refers to Australians who identify as being of Canadian descent. It may also refer to Canadian immigrants and expatriates residing in Australia. 
/m/0ftlzz,Luxembourgish Americans,N/A,"Luxembourgish Americans are Americans of Luxembourgish ancestry. According to the United States' 2000 census, there were 45,139 Americans of full or partial Luxembourgish descent. "
/m/02pzb09,Castilians,People,"Castilians are the inhabitants of the historical region of Castile in central Spain. However, the boundaries of the region are disputed.
Not all people in the regions of the medieval Kingdom of Castile or Crown of Castile think of themselves as Castilian. For that reason, the exact limits of what is Castilian today are disputed. "
/m/05sycg,British Asians,People,"British Asians are British people of Asian descent. They constitute a significant and growing minority of the people living in the United Kingdom, with a population of 5.76 million people or 8.6% of the population identifying as Asian or Asian British in the 2021 United Kingdom census. "
/m/051x6yk,Arabs in Bulgaria,People,"Arabs in Bulgaria are the people from Arab countries, particularly Lebanon, Syria, the Palestine, Iraq, and Jordan and also small groups from Egypt, Algeria, Tunisia, Morocco, Libya and Sudan, who emigrated from their native nations and currently reside in Bulgaria. "
/m/01vsch,Aromanians,Ethnic group,"The Aromanians are an ethnic group native to the southern Balkans who speak Aromanian, an Eastern Romance language. They traditionally live in central and southern Albania, south-western Bulgaria, northern and central Greece, and North Macedonia, and can currently be found in central and southern Albania, south-western Bulgaria, south-western and eastern North Macedonia, northern and central Greece, southern Serbia, and south-eastern Romania. "
/m/04csgrq,Sierra Leoneans in the United Kingdom,Ethnicity,"Sierra Leoneans in the United Kingdom are citizens or residents of the United Kingdom who are of Sierra Leonean descent. In 2001, there were 17,048 Sierra Leonean-born residents of the UK."
/m/064b9n,Omaha people,Native American tribe,"The Omaha Tribe of Nebraska are a federally recognized Midwestern Native American tribe who reside on the Omaha Reservation in northeastern Nebraska and western Iowa, United States. There were 5,427 enrolled members as of 2012. "
/m/09chmw,Not found,Not found,Not found
/m/095mw2,Soviet people,People,"The Soviet people were the citizens and nationals of the Soviet Union. This demonym was presented in the ideology of the country as the ""new historical unity of peoples of different nationalities""."
/m/09snp5,Muhajir,Ethnic group,N/A
/m/025tvhm,Egyptians,Ethnic group,"Egyptians are an ethnic group native to the Nile Valley in Egypt. Egyptian identity is closely tied to geography. The population is concentrated in the Nile Valley, a small strip of cultivable land stretching from the First Cataract to the Mediterranean and enclosed by desert both to the east and to the west. "
/m/0c41n,Acadians,Ethnic group,"The Acadians are an ethnic group descended from the French who settled in the New France colony of Acadia during the 17th and 18th centuries.
"
/m/01_5cg,Apache,People,"The Apache are several Southern Athabaskan language–speaking peoples of the Southwest, the Southern Plains and Northern Mexico. They are linguistically related to the Navajo. They migrated from the Athabascan homelands in the north into the Southwest between 1000 and 1500 CE.
Apache bands include the Chiricahua, Jicarilla, Lipan, Mescalero, Mimbreño, Salinero, Plains, and Western Apache. "
/m/025xss1,Not found,Not found,Not found
/m/0404kdr,Samoan New Zealanders,Ethnicity,"Samoan New Zealanders are Samoan immigrants in New Zealand, their descendants, and New Zealanders of Samoan ethnic descent. They constitute one of New Zealand's most sizeable ethnic minorities. "
/m/0ftwg,Buryats,Ethnic group,"The Buryats are a Mongolic ethnic group native to southeastern Siberia who speak the Buryat language. They are one of the two largest indigenous groups in Siberia, the other being the Yakuts. "
/m/0790v,Slavs,People,"The Slavs or Slavic people are groups of people who speak Slavic languages. Slavs are geographically distributed throughout the northern parts of Eurasia; they predominantly inhabit Central Europe, Eastern Europe, Southeastern Europe, and Northern Asia, though there is a large Slavic minority scattered across the Baltic states and Central Asia, and a substantial Slavic diaspora in the Americas, Western Europe, and Northern Europe.
"
/m/02r3wfk,British Jamaicans,People,"British Jamaicans are British people who were born in Jamaica or who are of Jamaican descent. The community is well into its third generation and consists of around 300,000 individuals, the second-largest Jamaican population, behind the United States, living outside of Jamaica. "
/m/03h11s3,Indian Australians,People,"Indian Australians or Indo-Australians are Australians of Indian ancestry. This includes both those who are Australian by birth, and those born in India or elsewhere in the Indian diaspora. "
/m/01vr3v,Romanians,Ethnic group,"Romanians are a Romance-speaking ethnic group and nation native to Central, Eastern, and Southeastern Europe. Sharing a common culture and ancestry, they speak the Romanian language and live primarily in Romania and Moldova. "
/m/0c3wsgg,Moroccans,People,Moroccans are the citizens and nationals of the Kingdom of Morocco. The country's population is predominantly composed of Arabs and Berbers. 
/m/06y24j,Iranian Americans,Ethnicity,"Iranian Americans, also known as Persian Americans, are citizens or nationals of the United States who are of Iranian ancestry.
"
/m/0ckk60,White South Africans,Race,"White South Africans are South Africans of European descent. In linguistic, cultural, and historical terms, they are generally divided into the Afrikaans-speaking descendants of the Dutch East India Company's original colonists, known as Afrikaners, and the Anglophone descendants of predominantly British colonists of South Africa. "
/m/03lnnd,Thai Americans,Ethnicity,"Thai Americans are Americans of Thai ancestry. The Thai American population is racially and ethnically diverse, consisting of many Thais who identify as mixed race."
/m/04hlx1,Greek Cypriots,Ethnicity,"Greek Cypriots are the ethnic Greek population of Cyprus, forming the island's largest ethnolinguistic community. According to the 2011 census, 659,115 respondents recorded their ethnicity as Greek, forming almost 99% of the 667,398 Cypriot citizens and over 78% of the 840,407 total residents of the area controlled by the Republic of Cyprus. "
/m/062zk4r,Not found,Not found,Not found
/m/097r55,Manx people,Ethnic group,"The Manx are an ethnic group originating on the Isle of Man, in the Irish Sea in Northern Europe. They belong to the diaspora of the Gaelic ethnolinguistic group, which now populate the parts of the British Isles and Ireland which once were the Kingdom of the Isles and Dál Riata. "
/m/0b8yvr,Sudanese Australians,People,Sudanese Australians are people of Sudanese origin or descent living in Australia. The largest population of Sudanese Australians reside in Victoria.
/m/0br_9j,Gitanos,People,"The Romani in Spain, generally known by the endonym Calé, or the exonym gitanos, belong to the Iberian Romani subgroup known as Calé, with smaller populations in Portugal and in Southern France. "
/m/0xff,Arabs,Ethnic group,"The Arabs, also known as the Arab people, are an ethnic group mainly inhabiting the Arab world in West Asia and North Africa. A significant Arab diaspora is present in various parts of the world.
"
/m/01crfj,Copts,N/A,"Copts are a Christian ethnoreligious group native to Northeast Africa who have primarily inhabited the area of modern Egypt and Sudan, and predominantly follow the Orthodox Church in Alexandria. "
/m/05mtdy,Indian Canadians,People,Indian Canadians are Canadians who have ancestry from India. The term East Indian is sometimes used to avoid confusion with Indigenous groups. 
/m/065577s,Not found,Not found,Not found
/m/0fp4n,Tatars,Ethnic group,N/A
/m/0301xt,Dene,People,"The Dene people are an Indigenous group of First Nations who inhabit the northern boreal, subarctic and Arctic regions of Canada. The Dene speak Northern Athabaskan languages and it is the common Athabaskan word for ""people"". The term ""Dene"" has two uses:
"
/m/01kb9y,Multiracial people,People,"The terms multiracial people refer to people who are of multiple
races, and the terms multi-ethnic people refer to people who are of more than one ethnicities. "
/m/0268xtg,Not found,Not found,Not found
/m/05y2yj,Russians in the Baltic states,Ethnicity,"Russians in the Baltic states is a broadly defined subgroup of the Russian diaspora who self-identify as ethnic Russians, or are citizens of Russia, and live in one of the three independent countries — Estonia, Latvia, and Lithuania — primarily the consequences of the USSR's forced population transfers during occupation. "
/m/0ffk5n,Latvian Americans,Ethnicity,"Latvian Americans are Americans who are of Latvian ancestry. According to the 2008 American Community Survey, there are 93,498 Americans of full or partial Latvian descent."
/m/02vys3l,Venezuelan Americans,N/A,"Venezuelan Americans are Americans who trace their heritage, or part of their heritage, to the nation of Venezuela. The word may refer to someone born in the U.S. of Venezuelan descent or to someone who has immigrated to the U.S. from Venezuela.
"
/m/01h4n,Basques,Ethnic group,"The Basques are a Southwestern European ethnic group, characterised by the Basque language, a common culture and shared genetic ancestry to the ancient Vascones and Aquitanians. "
/m/0bvnws,Kabyle people,Ethnic group,"The Kabyle people are a Berber ethnic group indigenous to Kabylia in the north of Algeria, spread across the Atlas Mountains, 160 kilometres east of Algiers. They represent the largest Berber population of Algeria and the second largest in North Africa.
"
/m/06dy2k,Serbs of Bosnia and Herzegovina,Tribe,"The Serbs of Bosnia and Herzegovina, often referred to as Bosnian Serbs or Herzegovinian Serbs, are native and one of the three constitutive nations of the country, predominantly residing in the political-territorial entity of Republika Srpska. "
/m/08yg47,Bengali Brahmin,N/A,"Bengali Brahmins are the community of Hindu Brahmins, who traditionally reside in the Bengal region of the Indian subcontinent, currently comprising the Indian state of West Bengal and the country of Bangladesh.
"
/m/08c25t,Wolof people,Ethnic group,"The Wolof people are a West African ethnic group found in northwestern Senegal, the Gambia, and southwestern coastal Mauritania. In Senegal, the Wolof are the largest ethnic group, while elsewhere they are a minority. "
/m/0bvjpj,Nigerian Americans,Ethnic group,"Nigerian Americans are Americans who are of Nigerian ancestry. The number of Nigerian immigrants residing in the United States is rapidly growing, expanding from a small 1980 population of 25,000. "
/m/03x1x,Five Nations,People,"The Iroquois, also known as the Five Nations, and later as the Six Nations from 1722 onwards; alternatively referred to by the endonym Haudenosaunee are an Iroquoian-speaking confederacy of Native Americans and First Nations peoples in northeast North America. "
/m/0dn1_0,Italian immigration to Mexico,N/A,"Italian Mexicans are Mexican-born citizens who are fully or partially of Italian descent, whose ancestors were Italians who emigrated to Mexico during the Italian diaspora, or Italian-born people in Mexico. "
/m/02qv716,Not found,Not found,Not found
/m/02r11hz,Lebanese Mexicans,People,"Lebanese Mexicans refers to Mexican citizens of Lebanese origin.
Although Lebanese Mexicans made up less than 5% of the total immigrant population in Mexico during the 1930s, they constituted half of the immigrant economic activity.
"
/m/06bkf,Not found,Not found,Not found
/m/035b50,Japanese Brazilians,People,Japanese Brazilians are Brazilian citizens who are nationals or naturals of Japanese ancestry or Japanese immigrants living in Brazil or Japanese people of Brazilian ancestry. 
/m/0166vx,Tejanos,N/A,Tejanos are descendants of Texas Creoles and Mestizos who settled in Texas before its admission as an American state. The term is also sometimes applied to Texans of Mexican descent.
/m/01g3rx,Aymara people,People,"The Aymara or Aimara, people are an indigenous people in the Andes and Altiplano regions of South America. Approximately 2.3 million Aymara live in northwest Argentina, Bolivia, Chile, and Peru. "
/m/06w4lv,Indo-Guyanese,People,"Indo-Guyanese or Indian-Guyanese, are Guyanese nationals of Indian origin who trace their ancestry to India and the wider subcontinent. "
/m/04wysy,Dalit,N/A,"Dalit is a term used for untouchables and outcasts, who represented the lowest stratum of the castes in the Indian subcontinent. They are also called Harijans. "
/m/064pj,Persians,Ethnic group,"The Persians are an Iranian ethnic group who comprise the majority of the population of Iran. They share a common cultural system and are native speakers of the Persian language as well as of the languages that are closely related to Persian.
"
/m/013z8m,Manchu people,Ethnic group,The Manchus are a Tungusic East Asian ethnic group native to Manchuria in Northeast Asia. They are an officially recognized ethnic minority in China and the people from whom Manchuria derives its name. 
/m/04118b,German Brazilians,Ethnicity,"German Brazilians refers to Brazilians of full or partial German ancestry. German Brazilians live mostly in the country's South Region, with a smaller but still significant percentage living in the Southeast Region.
"
/m/064rb5l,Israeli Jews,Ethnicity,"Israeli Jews or Jewish Israelis comprise Israel's largest ethnic and religious community. The core of their demographic consists of those with a Jewish identity and their descendants, including ethnic Jews and religious Jews alike. "
/m/01ywdy,Not found,Not found,Not found
/m/01flqq,Asante people,Ethnic group,"The Asante, also known as Ashanti in English, are part of the Akan ethnic group and are native to the Ashanti Region of modern-day Ghana. Asantes are the last group to emerge out of the various Akan civilisations. Twi is spoken by over nine million Asante people as their native language.
The Asante people developed the Ashanti Empire, along the Lake Volta and Gulf of Guinea. "
/m/0960kn,Danish Canadians,People,"Danish Canadians are Canadian citizens of Danish ancestry. According to the 2006 Census, there were 200,035 Canadians with Danish background, 17,650 of whom were born in Denmark.
"
/m/0180zw,Kikuyu people,Ethnic group,"The Kikuyu are a Bantu ethnic group native to East Africa Central Kenya. At a population of 8,148,668 as of 2019, they account for 17.13% of the total population of Kenya, making them Kenya's largest ethnic group.
"
/m/0463n9y,Not found,Not found,Not found
/m/0d32d1,Chinese Jamaicans,People,"Chinese Jamaicans are Jamaicans of Chinese ancestry, which include descendants of migrants from China to Jamaica. Early migrants came in the 19th century; there was another moment of migration in the 1980s and 1990s. "
/m/07n8wy,Agrawal,N/A,"Agrawal is a Bania caste. The Banias of northern India are a cluster of several communities, of which the Agarwal Banias, Maheshwari Banias, Oswal Banias, Khatri Banias and Porwal Banias are a part.
"
/m/03q819,Yugoslavs,People,"Yugoslavs or Yugoslavians is an identity that was originally conceived to refer to a united South Slavic people. It has been used in two connotations: the first in a sense of common shared ethnic descent, i.e. panethnic or supraethnic connotation for ethnic South Slavs, and the second as a term for all citizens of former Yugoslavia regardless of ethnicity. "
/m/06vb7b,Iranian Canadians,People,"Iranian Canadians or Persian Canadians are Canadians of Iranian origin. From the 2016 Canadian census, the main communities can be found in Southern Ontario, British Columbia, and Quebec. "
/m/02pj9yr,Not found,Not found,Not found
/m/03hf_6z,Gibraltarians,Ethnic group,"Gibraltarians are an ethnic group native to Gibraltar, a British overseas territory located near the southernmost tip of the Iberian Peninsula at the entrance to the Mediterranean Sea."
/m/01km_m,Slovenes,Ethnic group,"The Slovenes, also known as Slovenians, are a South Slavic ethnic group native to Slovenia, and adjacent regions in Italy, Austria and Hungary. Slovenes share a common ancestry, culture, history and speak Slovene as their native language. "
/m/062szv5,Not found,Not found,Not found
/m/07g8yp,Burmese Americans,Ethnicity,"Burmese Americans are Americans of full or partial Burmese ancestry, encompassing individuals of all ethnic backgrounds with ancestry in present-day Myanmar, regardless of specific ethnicity. "
/m/0fk55,Cheyenne,People,"The Cheyenne are an Indigenous people of the Great Plains. The Cheyenne comprise two Native American tribes, the Só'taeo'o or Só'taétaneo'o and the Tsétsêhéstâhese; the tribes merged in the early 19th century. "
/m/04lgl9t,Austrians in the United Kingdom,People,Austrians in the United Kingdom include citizens or non-citizen immigrants of the United Kingdom who originate from Austria.
/m/0444sm4,Not found,Not found,Not found
/m/03m9my8,Arab Mexicans,Ethnicity,"Arab Mexicans are Mexican citizens of Arab ethnic lineage, who identify themselves as Arab. Some of Mexico's Arabs are of Lebanese.
"
/m/03cjjy0,Greeks in South Africa,People,"Greek South Africans are South Africans of Greek ancestry from Greece and Cyprus.
Greek immigration to South Africa peaked in 1965. "
/m/03cmqbt,Spanish people of Filipino ancestry,Ethnicity,"Spanish people of Filipino ancestry or Filipinos in Spain are an ethnic and multilingualistic group in Spain, consisting of citizens and the descendants of early migrants from the Philippines to Spain, as well as more recent migrants. "
/m/0b3zsn,Greeks in the United Kingdom,People,"Greeks in the United Kingdom are British residents and citizens of full or partial Greek heritage, or Greeks who emigrated to and reside in the United Kingdom."
/m/03b_13l,Swedish Australians,People,"Swedish Australians are Australians with Swedish ancestry, most often related to the large groups of immigrants from Sweden in the late nineteenth century and early twentieth century. "
/m/0152wh,Chinese Indonesians,People,"Chinese Indonesians, or simply Orang Tionghoa or Tionghoa, are Indonesians whose ancestors arrived from China at some stage in the last eight centuries. "
/m/05ysft4,Not found,Not found,Not found
/m/05sng,Culture of Palestine,N/A,The culture of Palestinians is influenced by the many diverse cultures and religions which have existed in the historical region of Palestine and the state of Palestine. 
/m/059v8,Nez Perce,People,"The Nez Perce are an Indigenous people of the Plateau who still live on a fraction of the lands on the southeastern Columbia River Plateau in the Pacific Northwest. This region has been occupied for at least 11,500 years.
"
/m/09c8kp,Afro-Guyanese,People,Afro-Guyanese are generally descended from the enslaved people brought to Guyana from the coast of West Africa to work on sugar plantations during the era of the Atlantic slave trade. 
/m/04jtjvt,Not found,Not found,Not found
/m/04c28,Kurds,Ethnic group,"Kurds or Kurdish people are an Iranic ethnic group native to the mountainous region of Kurdistan in Western Asia, which spans southeastern Turkey, northwestern Iran, northern Iraq, and northern Syria. "
/m/03sk2,Not found,Not found,Not found
/m/05ztd1,Dogras,Ethno-linguistic group,"The Dogras, or Dogra people, are an Indo-Aryan ethno-linguistic group living primarily in the Indian union territory of Jammu and Kashmir and neighbouring Pakistan, consisting of the Dogri language speakers. "
/m/0dm3xpw,Not found,Not found,Not found
/m/03hjx6f,Black Hispanic and Latino Americans,People,"Black Hispanic and Latino Americans, also called Afro-Hispanics, Afro-Latinos, Black Hispanics, or Black Latinos, are classified by the United States Census Bureau, Office of Management and Budget, and other U.S. government agencies as Black people living in the United States with ancestry in Latin America or Spain and/or who speak Spanish and/or Portuguese as either their first language or second language.
"
/m/026d074,Goans,People,"Goans is the demonym used to describe the people native to Goa, India, who form an ethno-linguistic group resulting from the assimilation of Indo-Aryan, Dravidian, Indo-Portuguese, Austro-Asiatic ethnic and/or linguistic ancestries. "
/m/03nvq,Hazaras,Ethnic group,"The Hazaras are an ethnic group and a principal component of Afghanistan’s population. They are one of the largest ethnic groups in Afghanistan, primarily residing in the Hazaristan region in central Afghanistan. "
/m/03nz70,Hutsuls,Ethnic group,"The Hutsuls are an East Slavic ethnic group spanning parts of western Ukraine and Romania.
They have often been officially and administratively designated a subgroup of Ukrainians, and are largely regarded as constituting a broader Ukrainian ethnic group."
/m/029q52,Georgians,Ethnic group,"The Georgians, or Kartvelians, are a nation and Caucasian ethnic group native to present-day Georgia and surrounding areas historically associated with the Georgian kingdoms. "
/m/02wz7j,Oneida people,Tribe,"The Oneida people are a Native American tribe and First Nations band. They are one of the five founding nations of the Iroquois Confederacy in the area of upstate New York, particularly near the Great Lakes.
"
/m/04kdwcx,Not found,Not found,Not found
/m/02ry8mk,Sierra Leone Creole people,Ethnic group,"The Sierra Leone Creole people are an ethnic group of Sierra Leone. The Sierra Leone Creole people are descendants of freed African-American, Afro-Caribbean, and Liberated African slaves who settled in the Western Area of Sierra Leone between 1787 and about 1885. "
/m/07wsyr,Thai people,People,"Thai people are a Southeast Asian ethnic group native to Thailand. In a narrower and ethnic sense, the Thais are also a Tai ethnic group dominant in Central and Southern Thailand. "
/m/09r2kh,Ethnic groups in the Caucasus,N/A,"The peoples of the Caucasus, or Caucasians, are a diverse group comprising more than 50 ethnic groups throughout the Caucasus."
/m/04_8lfc,Not found,Not found,Not found
/m/033qt1,Azerbaijanis,Ethnic group,"Azerbaijanis, Azeris, or Azerbaijani Turks are a Turkic ethnic group living mainly in the Azerbaijan region of northwestern Iran and the Republic of Azerbaijan. They are predominantly Shia Muslims. "
/m/012fh,Afrikaners,Ethnic group,"Afrikaners are a Southern African ethnic group descended from predominantly Dutch settlers first arriving at the Cape of Good Hope in 1652. Until 1994, they dominated South Africa's politics as well as the country's commercial agricultural sector.
Afrikaans, a language primarily descended from Dutch, is the mother tongue of Afrikaners and most Cape Coloureds. "
/m/08j1fb,Bangladeshi Americans,Ethnic group,Bangladeshi Americans are American citizens with Bangladeshi origin or descent. Bengali Americans are predominantly Bangladeshi Americans and are usually Bengali speaking Muslims. 
/m/027936c,Gin people,Ethnicity,"The Gin, or Jing people, are a community of descendants of ethnic Vietnamese people living in China. They mainly live in an area called the Jing Islands, off the coast of Dongxing, Fangchenggang, in the Chinese autonomous region of Guangxi. "
/m/0dtkkb,British African-Caribbean people,People,"British African-Caribbean people or British Afro-Caribbean people are an ethnic group in the United Kingdom. They are British citizens whose recent ancestors originate from the Caribbean, and further trace much of their ancestry to West and Central Africa or they are nationals of the Caribbean who reside in the UK. "
/m/05bzpzx,Czech Australians,People,Czech Australians are Australian citizens of Czech ancestry. Most Czech immigrants to Australia came after World War II and 1968–1969. Most recently the biggest influx is of students coming to Australia to study English and to find work. Many of them are deciding to stay by gaining permanent residency. 
/m/04lhnps,Barbadian Americans,People,"Barbadian Americans are Americans of full or partial Barbadian heritage. The 2000 Census recorded 53,785 US residents born on the Caribbean island 52,170 of whom were born to non-American parents and 54,509 people who described their ethnicity as Barbadian. "
/m/0fp54b,Koryo-saram,Ethnicity,"Koryo-saram or Koryoin are ethnic Koreans of the former Soviet Union, who descend from Koreans that were living in the Russian Far East.
Koreans first began settling in the Russian Far East in the late 19th century. Their numbers increased as Koreans fled the Japanese colonization of Korea beginning in 1910. A number of Koryo-saram became significant Korean independence activists, such as Hong Beom-do and Chŏng Sangjin. In 1937, they were all deported to Central Asia. "
/m/01hm_,Not found,Not found,Not found
/m/0288fw3,Poles in the United Kingdom,Ethnicity,"British Poles, alternatively known as Polish British people or Polish Britons, are ethnic Poles who are citizens of the United Kingdom. The term includes people born in the UK who are of Polish descent and Polish-born people who reside in the UK. There are approximately 682,000 people born in Poland residing in the UK. "
/m/0ft9bs,Sri Lankan Tamil diaspora,People,"The Sri Lankan Tamil diaspora refers to the global diaspora of Sri Lankan Tamil origin. It can be said to be a subset of the larger Sri Lankan and Tamil diaspora.
"
/m/01gr8h,Sherpa people,Ethnic group,"The Sherpas are one of the Tibetan ethnic groups native to the most mountainous regions of Nepal and Tibetan Autonomous Region of China.
"
/m/09g34_,Malagasy peoples,Ethnic group,"The Malagasy are a group of Austronesian-speaking ethnic groups indigenous to the island country of Madagascar, formed through generations of interaction between Austronesians originally from southern Borneo and Bantus from Southeast Africa. "
/m/0d8qls,Sri Lankan Americans,Ethnicity,Sri Lankan Americans are Americans of full or partial Sri Lankan ancestry. Sri Lankan Americans are persons of Sri Lankan origin from various Sri Lankan ethnic backgrounds. The people are classified as South Asian in origin.
/m/08xbxs,Pakistani Canadians,People,Pakistani Canadian refers to the community in Canada of Pakistani heritage or descent. It can also refer to people who hold dual Pakistani and Canadian citizenship. 
/m/032m0b,Chettiar,N/A,"Chettiar is a title used by many traders, weaving, agricultural and land-owning castes in South India, especially in the Indian states of Tamil Nadu, Kerala and Karnataka."
/m/04hqxn,Transylvanian Saxons,People,"The Transylvanian Saxons are a people of mainly German ethnicity and overall Germanic origin—mostly Luxembourgish and from the Low Countries initially during the medieval Ostsiedlung process, then also from other parts of present-day Germany—who settled in Transylvania in various waves, starting from the mid and mid-late 12th century until the mid 19th century.
"
/m/068y7m,Greek Australians,People,Greek Australians are Australians of Greek ancestry. Greek Australians are one of the largest groups within the global Greek diaspora. 
/m/044bp_,Indo-Caribbean people,People,Indo-Caribbean people or Indian-Caribbean people are people in the Caribbean who trace their ancestry to the Indian subcontinent. 
/m/039z49,Dinka people,Ethnic group,"The Dinka people are a Nilotic ethnic group native to South Sudan. The Dinka mostly live along the Nile, from Mangalla-Bor to Renk, in the region of Bahr el Ghazal, Upper Nile, and the Abyei Area of the Ngok Dinka in South Sudan.
"
/m/047q05d,Lebanese people in the United Kingdom,People,Lebanese people in the United Kingdom include people originating from Lebanon who have migrated to the United Kingdom and their descendants.
/m/0c50f,Not found,Not found,Not found
/m/01srl7,Ossetians,Ethnic group,"The Ossetians, also known as Ossetes, Ossets, and Alans, are an Iranian ethnic group who are indigenous to Ossetia, a region situated across the northern and southern sides of the Caucasus Mountains. "
/m/0fpxlz9,Not found,Not found,Not found
/m/0bdynxs,Not found,Not found,Not found
/m/01gby2,Zhuang people,Ethnic group,"The Zhuang; Sawndip: 佈獞 are a Tai-speaking ethnic group who mostly live in the Guangxi Zhuang Autonomous Region in Southern China. Some also live in the Yunnan, Guangdong, Guizhou, and Hunan provinces. They form one of the 56 ethnic groups officially recognized by the People's Republic of China. With the Bouyei, Nùng, Tày, and other Northern Tai speakers, they are sometimes known as the Rau or Rao people. Their population, estimated at 18 million people, makes them the largest minority in China."
/m/043_z22,Not found,Not found,Not found
/m/03x_fq7,Aboriginal Australians,People,"Aboriginal Australians are the various Indigenous peoples of the Australian mainland and many of its islands, excluding the ethnically distinct people of the Torres Strait Islands.
"
/m/01hphz,Not found,Not found,Not found
/m/033fjj,Ho-Chunk,People,"The Ho-Chunk, also known as Hocąk, Hoocągra, or Winnebago are a Siouan-speaking Native American people whose historic territory includes parts of Wisconsin, Minnesota, Iowa, and Illinois. "
/m/013y54,Han Chinese,Ethnic group,"The Han Chinese or the Han people, or simply the Chinese, are an East Asian ethnic group native to Greater China. With a global population of over 1.4 billion, the Han Chinese are the world's largest ethnic group, making up about 17.5% of the global population. "
